TICKER,EMPRESA,SETORES,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
BRAV3,Brava Energia,"Petróleo, Gás e Biocombustíveis",16.95,2.27,-27.53,1.59,0.36,30.69,25.07,-3.25,3.57,7.89,4.32,1.93,0.89,7.1,-0.45,1.37,-5.78,-1.31,13.01,0.23,0.77,0.4,178.26,,172001361.73,10.65,-0.62,0.17,7867836219.6
AESB3,AES Brasil,Energia Elétrica,11.78,0.63,-53.37,1.67,0.35,31.51,25.36,-3.72,7.83,18.85,11.02,2.35,1.99,-7.11,-0.42,0.77,-3.13,-0.66,4.98,0.21,0.74,0.18,,,65587855.77,7.06,-0.22,0.28,7115705253.96
AURE3,Auren Energia,Energia Elétrica,10.4,18.27,-26.96,0.84,0.36,20.59,20.4,-6.25,8.25,10.89,2.63,0.27,1.68,2.4,-0.47,2.45,-3.13,-1.32,0.27,0.42,0.58,0.21,,,52832224.27,12.32,-0.39,0.24,10400000000.0
ALPA4,Alpargatas,Consumo Cíclico,6.94,,-3.03,1.22,0.72,42.42,-41.4,-40.63,-2.97,-3.01,-0.09,0.04,1.23,2.17,-1.49,2.82,-40.17,-23.89,-31.38,0.59,0.41,0.59,-0.89,,20227288.41,5.71,-2.29,-0.01,4658969255.32
ABEV3,Ambev,Bebidas e Alimentos,12.88,5.67,14.1,2.13,1.41,50.83,23.88,17.85,10.54,9.92,-0.62,-0.12,2.52,54.88,-1.93,1.11,15.11,10.04,17.45,0.66,0.33,0.56,9.68,5.54,414144708.09,6.05,0.91,17.06,202958626487.68
AMER3,Americanas,Consumo Cíclico,3.85,,-1.6,-0.03,0.03,33.16,-10.62,-3.26,-0.49,-16.0,-15.51,,0.05,-0.02,-0.05,0.22,-1.58,-1.86,546.31,-1.17,2.17,0.57,18.16,,10137497.82,-151.63,-2.4,0.02,770842241.4
ASAI3,Assaí,Consumo Não Cíclico,7.09,,14.42,1.99,0.22,16.42,5.13,0.94,2.65,6.14,3.49,2.62,0.14,-3.11,-0.34,0.84,13.78,1.51,16.03,0.11,0.89,1.6,,,184064704.55,3.57,0.49,-0.53,9586318092.91
AZUL4,Azul,Transporte,5.93,,-4.15,-0.29,0.33,22.12,13.03,-9.67,3.08,12.78,11.93,,0.4,-0.6,-0.42,0.28,-6.9,-7.91,56.04,-1.15,2.15,0.82,15.18,,191145144.23,-20.69,-1.43,-0.36,2064452390.87
B3SA3,B3,Financeiro,10.65,3.77,13.81,3.02,1.24,90.09,53.75,41.11,10.57,10.13,-0.44,-0.12,5.68,8.34,-1.95,1.7,21.87,9.01,12.9,0.41,0.59,0.22,15.48,14.92,602688910.41,3.53,0.77,69.13,57792225000.0
BBAS3,Banco do Brasil,Financeiro,26.69,9.44,4.38,0.86,0.07,36.34,15.45,13.14,3.72,3.72,,,0.58,1.89,-0.07,17.9,19.54,1.5,,0.08,0.92,0.11,17.16,20.38,416957794.86,31.21,6.1,0.61,152955960527.6
BBDC3,Bradesco,Financeiro,13.34,10.29,10.64,0.86,0.07,31.15,4.16,6.22,15.93,17.11,,,0.66,0.73,-0.08,10.17,8.11,0.67,,0.08,0.92,0.11,14.8,-4.25,84768294.73,15.47,1.25,-0.68,152484044624.58
BBDC4,Bradesco PN,Financeiro,15.32,9.85,12.22,0.99,0.08,31.15,4.16,6.22,18.3,17.11,,,0.76,0.84,-0.09,10.17,8.11,0.67,,0.08,0.92,0.11,14.8,-4.25,557184570.0,15.47,1.25,-0.79,152484044624.58
BPAN4,Banco Pan,Financeiro,9.18,2.34,19.04,1.57,0.18,47.73,4.99,4.46,17.0,17.0,,,0.85,,-0.18,,8.26,0.94,,0.11,0.89,0.21,16.74,25.28,22287777.68,5.84,0.48,22.25,11650063426.2
BRFS3,BRF,Bebidas e Alimentos,24.35,,22.06,2.6,0.66,22.69,7.66,3.28,9.46,11.85,2.4,0.66,0.72,4.53,-1.25,1.45,11.79,3.01,10.14,0.25,0.73,0.92,12.17,,137735131.32,9.36,1.1,-0.14,40968223540.1
BPAC11,BTG Pactual,Financeiro,33.13,2.37,11.61,2.39,0.25,19.57,27.56,25.09,10.57,10.57,,,2.91,50.55,-2.51,1.01,20.63,2.12,,0.1,0.9,0.08,43.9,53.64,309061226.18,13.84,2.85,0.38,127065917738.21
CSNA3,CSN,Siderurgia e Metalurgia,11.67,12.5,-22.3,1.1,0.17,26.65,12.95,-1.59,2.73,8.74,6.01,2.42,0.35,2.17,-0.25,1.29,-4.94,-0.74,6.89,0.15,0.82,0.47,14.62,,123031799.64,10.59,-0.52,-1.3,15475516361.49
CCRO3,CCR,Transporte,12.2,3.46,17.43,1.87,0.44,37.2,28.37,6.86,4.21,8.46,4.25,1.89,1.2,6.98,-0.55,1.52,10.75,2.55,10.36,0.24,0.75,0.37,14.27,12.56,104802168.18,6.51,0.7,1.79,24644000000.0
CMIG4,Cemig,Energia Elétrica,11.04,16.58,6.92,1.18,0.56,23.26,19.83,12.05,4.21,5.77,1.16,0.33,0.83,-55.94,-0.72,0.96,17.11,8.05,16.55,0.47,0.53,0.67,10.6,21.84,130945712.27,9.32,1.6,-0.54,34626500178.67
CPLE6,Copel,Energia Elétrica,9.9,2.17,12.74,1.18,0.52,15.54,16.45,10.53,8.16,10.36,2.56,0.37,1.34,5.26,-0.72,1.57,9.26,4.09,8.4,0.44,0.56,0.39,9.35,17.53,149679438.82,8.39,0.78,0.63,28229477550.9
CSAN3,Cosan,"Petróleo, Gás e Biocombustíveis",11.81,3.82,8.41,1.11,0.15,29.9,27.49,6.49,1.99,6.62,4.64,2.6,0.55,1.49,-0.2,1.79,13.25,1.83,9.33,0.14,0.66,0.28,30.82,9.67,147459020.5,10.6,1.4,-0.03,22044202706.92
CPFE3,CPFL Energia,Energia Elétrica,32.6,8.45,6.87,1.96,0.51,34.44,26.42,13.56,3.52,5.79,2.27,1.26,0.93,-295.8,-0.64,0.99,28.53,7.39,17.3,0.26,0.73,0.54,7.15,21.59,78363001.86,16.64,4.75,-6.61,37563494744.0
CYRE3,Cyrela,Construção Civil,21.66,4.29,7.35,1.02,0.47,32.89,21.32,17.42,6.0,7.7,1.7,0.29,1.28,1.25,-1.04,3.27,13.87,6.45,8.83,0.47,0.49,0.37,14.72,,141394458.77,21.26,2.95,0.29,8658429026.34
ENGI11,Energisa,Energia Elétrica,43.55,4.59,8.25,1.02,0.27,27.93,21.22,7.8,3.03,6.61,3.58,1.2,0.64,5.9,-0.37,1.2,12.38,3.27,10.1,0.26,0.74,0.42,12.56,16.05,131528470.45,42.64,5.28,0.16,19940888814.73
ELET3,Eletrobras,Energia Elétrica,37.77,1.07,19.61,0.76,0.32,45.81,31.08,12.41,7.83,12.03,4.09,0.4,2.43,2.77,-0.4,2.35,3.89,1.62,3.36,0.42,0.58,0.13,8.27,-19.64,335848158.18,49.51,1.93,0.12,88354743182.0
ELET6,Eletrobras PNB,Energia Elétrica,42.11,4.33,21.86,0.85,0.35,45.81,31.08,12.41,8.73,12.03,4.09,0.4,2.71,3.09,-0.44,2.35,3.89,1.62,3.36,0.42,0.58,0.13,8.27,-19.64,45314382.36,49.51,1.93,0.14,88354743182.0
EMBR3,Embraer,Aeronáutica e Defesa,47.98,,18.59,2.23,0.59,17.32,7.39,6.75,16.98,20.82,3.85,0.51,1.25,3.28,-1.27,1.5,12.01,3.16,6.08,0.26,0.71,0.47,6.88,,231571980.05,21.49,2.58,-0.04,35527512811.12
PETR3,Petrobras,"Petróleo, Gás e Biocombustíveis",40.37,13.41,6.69,1.4,0.5,52.24,33.01,15.78,3.2,4.68,1.6,0.7,1.06,-28.22,-0.59,0.9,20.95,7.44,18.88,0.36,0.64,0.47,10.54,25.03,355443255.5,28.83,6.04,-0.13,506775109594.58
PETR4,Petrobras PN,"Petróleo, Gás e Biocombustíveis",36.83,17.36,6.1,1.28,0.45,52.24,33.01,15.78,2.92,4.68,1.6,0.7,0.96,-25.74,-0.53,0.9,20.95,7.44,18.88,0.36,0.64,0.47,10.54,25.03,1156730623.68,28.83,6.04,-0.12,506775109594.58
ITSA4,Itaúsa,Financeiro,10.61,6.48,7.66,1.31,1.01,30.2,191.32,187.13,7.49,7.78,0.28,0.05,14.33,15.41,-1.15,2.25,17.13,13.23,14.5,0.77,0.19,0.07,6.55,8.69,266065861.14,8.09,1.39,0.98,109759130575.06
ITUB4,Itaú Unibanco,Financeiro,35.32,6.65,9.36,1.71,0.13,41.14,14.0,11.51,7.69,6.41,-0.75,-0.17,1.08,,-0.13,,18.26,1.36,18.66,0.07,0.93,0.12,18.99,8.25,838095182.14,20.68,3.78,0.53,322333518057.39
MGLU3,Magazine Luiza,Consumo Cíclico,9.4,,-29.61,0.63,0.2,28.79,0.91,-0.63,20.35,27.71,7.36,0.23,0.19,1.76,-0.39,1.29,-2.14,-0.67,-2.56,0.31,0.69,1.07,18.72,,212665064.95,14.85,-0.32,0.4,6946555331.2
MRFG3,Marfrig,Bebidas e Alimentos,14.55,,345.87,2.34,0.1,12.01,2.79,0.03,3.46,13.8,10.34,6.98,0.1,1.13,-0.16,1.26,0.68,0.03,2.65,0.04,0.83,0.99,34.79,-51.33,79171686.77,6.23,0.04,-3.38,13182300000.0
BEEF3,Minerva,Bebidas e Alimentos,5.62,,48.23,5.1,0.1,21.16,7.65,0.25,1.59,6.04,4.45,14.3,0.12,0.26,-0.3,2.22,10.57,0.2,7.73,0.02,0.96,0.81,10.65,,50553033.77,1.1,0.12,-0.6,3412932747.34
NTCO3,Natura,Consumo Não Cíclico,14.89,4.76,8.05,0.93,0.51,63.73,0.81,9.88,98.26,108.88,10.62,0.1,0.8,4.63,-0.77,1.47,11.53,6.29,-2.49,0.55,0.45,0.64,14.82,36.14,106563038.05,16.03,1.85,-0.04,20650167702.74
PRIO3,PetroRio,"Petróleo, Gás e Biocombustíveis",42.18,0.17,6.67,2.12,1.01,58.84,59.69,38.72,4.33,5.11,0.78,0.38,2.58,7.01,-1.41,2.04,31.76,15.13,20.44,0.48,0.52,0.39,69.58,94.09,494951619.77,19.92,6.33,0.13,37627088016.12
RAIZ4,Raízen,"Petróleo, Gás e Biocombustíveis",2.91,5.34,32.27,1.36,0.24,6.78,3.65,0.41,3.59,7.45,3.86,1.46,0.13,6.0,-0.42,1.1,4.22,0.73,10.72,0.17,0.83,1.79,,,41575477.36,2.14,0.09,-0.51,30125802598.44
RDOR3,Rede D'Or,Saúde,29.94,2.1,21.24,2.88,0.72,17.99,13.52,6.67,10.48,10.87,0.39,0.11,1.42,2.2,-1.4,3.03,13.56,3.39,9.48,0.25,0.74,0.51,33.63,22.5,137996834.14,10.4,1.41,0.12,68541420144.6
RAIL3,Rumo,Transporte,19.19,0.48,-39.71,2.49,0.72,42.64,17.07,-7.16,16.66,22.09,5.43,0.81,2.85,5.63,-0.96,2.12,-6.26,-1.82,4.83,0.29,0.71,0.25,10.68,,250315048.59,7.71,-0.48,0.19,35594935131.31
SANB11,Santander Brasil,Financeiro,28.64,5.62,10.18,0.92,0.09,39.6,12.23,8.07,6.72,6.72,,,0.82,,-0.09,,8.99,0.89,,0.1,0.9,0.11,12.73,-3.47,64907401.73,31.28,2.81,0.6,107378964650.32
SULA11,Sul América,Financeiro,22.25,,52.23,1.13,0.31,4.25,-3.34,0.83,-12.92,6.54,19.47,-1.71,0.43,0.85,-0.91,2.29,2.17,0.6,-8.72,0.28,0.72,0.73,4.58,-23.56,85369116.27,19.64,0.43,-0.94,9475042424.17
SUZB3,Suzano,Papel e Celulose,55.77,2.09,314.47,1.74,0.46,38.73,29.82,0.56,5.87,11.45,5.58,1.65,1.75,3.02,-0.62,2.48,0.55,0.15,6.53,0.26,0.73,0.26,24.23,-6.77,267123092.82,32.03,0.18,-3.18,70499839388.55
VIVT3,Telefônica Brasil,Telecomunicações,54.81,3.22,17.45,1.31,0.73,43.79,15.45,9.63,10.89,12.27,1.39,0.17,1.68,135.26,-0.9,1.03,7.51,4.18,8.46,0.56,0.44,0.43,3.69,-10.28,122605954.91,41.8,3.14,1.18,90578368011.6
TIMS3,Tim,Telecomunicações,17.64,6.48,18.37,2.51,0.78,53.01,21.78,9.4,7.93,10.03,2.1,0.67,1.73,-31.39,-0.98,0.88,13.69,4.27,12.36,0.31,0.52,0.45,7.02,-1.79,128495238.14,7.02,0.96,0.45,42702989580.72
TOTS3,Totvs,Tecnologia,28.54,1.54,22.39,3.53,2.02,69.1,15.32,16.1,23.53,22.82,-0.71,-0.11,3.6,9.84,-3.13,2.4,15.77,9.04,8.68,0.57,0.43,0.56,14.15,67.57,95310212.5,8.08,1.27,0.36,17614407985.74
VALE3,Vale,Mineração,60.7,11.8,5.65,1.34,0.57,40.66,33.36,23.19,3.93,4.61,0.68,0.23,1.31,45.55,-0.69,1.08,23.72,10.12,21.52,0.43,0.56,0.44,9.12,13.69,1701337928.95,45.26,10.74,-0.39,275517760106.0
BHIA3,Via,Consumo Cíclico,4.38,,-0.2,0.13,0.01,27.95,-4.93,-7.68,-0.31,-5.57,-5.26,2.15,0.02,-0.1,-0.02,0.76,-63.54,-6.61,-20.98,0.1,0.9,0.86,1.39,,13725391.32,34.1,-21.66,0.0,416471235.66
VBBR3,Vibra Energia,"Petróleo, Gás e Biocombustíveis",22.61,7.57,4.08,1.53,0.57,5.69,5.56,3.69,2.7,3.82,1.12,0.63,0.15,1.71,-1.29,2.49,37.54,14.01,20.48,0.37,0.63,3.8,10.76,14.22,180102274.95,14.78,5.55,0.01,25300590000.0
WEGE3,WEG,Bens de Capital,55.22,1.35,39.78,12.01,6.19,24.78,19.97,17.16,34.2,33.75,-0.45,-0.16,6.83,21.46,-18.66,1.76,30.19,15.56,23.84,0.52,0.47,0.91,22.11,34.2,341823531.68,4.6,1.39,2.5,231775899849.56
